pdf,project_name,multiple_phases,number_countries,eval_year,number_sectors,number_subsectors,mean_investment,number_funding_source,number_carrier_type,overall_rating,relevance,coherence,effectivity,efficiency,impact,sustainability,url,cluster,invest_plan_vs_actual,adaptive_management
%C3%84gypten_Qena_2022_D.pdf,Kommunale Wasserver- und Abwasserentsorgung Qena,0,1,2022,1,1,12670000.0,1,1,3,2.0,3.0,3.0,2.0,3.0,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/%C3%84gypten_Qena_2022_D.pdf,3,0.18609206660137115,1
%C3%84gypten_Umwelt_2022_D.pdf,Förderung von Umweltschutzmaßnahmen der privaten Industrie II ,0,1,2022,1,1,25780000.0,1,1,3,3.0,2.0,3.0,3.0,4.0,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/%C3%84gypten_Umwelt_2022_D.pdf,3,0.5514403292181069,1
%C3%84thiopien_Gavi_2022_D.pdf,Impfprogrammförderung in Äthiopien in Zusammenarbeit mit der GAVI-Alliance,0,1,2022,1,1,10000000.0,1,1,3,2.0,3.0,3.0,3.0,3.0,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/%C3%84thiopien_Gavi_2022_D.pdf,3,,0
Afrika_TCX_2012_D.pdf,Lokalwährungsfonds TCX,0,1,2012,1,1,90000000.0,1,1,2,2.0,,1.0,2.0,1.0,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Afrika_TCX_2012_D.pdf,7,,0
Albanien_Elbasan_2011.pdf,Wirtschaftsförderung durch Ausbau kommunaler Infrastruktur Elbasan,0,1,2011,1,1,10600000.0,1,1,4,3.0,,4.0,4.0,4.0,3.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Albanien_Elbasan_2011.pdf,2,0.6453674121405751,1
Albanien_Familienplanung_2013_D.pdf,Familienplanung III,0,1,2013,1,1,2080000.0,1,1,4,3.0,,3.0,3.0,3.0,4.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Albanien_Familienplanung_2013_D.pdf,2,0.1443298969072165,1
Albanien_Masterplan_2017_D.pdf,Masterplan im Wassersektor,0,1,2017,1,1,2100000.0,1,1,2,2.0,,3.0,2.0,2.0,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Albanien_Masterplan_2017_D.pdf,0,0.0,0
Albanien_Pogradec_2022_D.pdf,Umweltschutzprogramm Ohridsee/Abwasserentsorgung Pogradec III,0,1,2022,1,1,10300000.0,1,1,3,3.0,2.0,2.0,3.0,2.0,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Albanien_Pogradec_2022_D.pdf,3,0.014705882352941124,0
Albanien_WV_Kavaja_2010.pdf,Ländliche Wasserversorgung Kavaja,0,1,2010,1,1,5290000.0,1,1,3,2.0,,3.0,3.0,4.0,3.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Albanien_WV_Kavaja_2010.pdf,1,0.022429906542056097,0
Alle_EL_Finanz_2021_D.pdf,Deutscher Beitrag zum Transition Fund im Rahmen der <span lang='fr'>Deauville</span> Partnerschaft (G 7/8),0,1,2021,1,1,5000000.0,1,1,3,2.0,3.0,3.0,3.0,3.0,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Alle_EL_Finanz_2021_D.pdf,3,,0
Alle_Entwicklungsländer_MEF_2016_D.pdf,Länderübergreifende MFI-Refinanzierungsfazilität zur Überbrückung von Liquiditätsengpässen,0,1,2016,1,1,167500000.0,1,1,2,2.0,,2.0,2.0,2.0,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Alle_Entwicklungsländer_MEF_2016_D.pdf,4,,0
Armenien_2019_Gyumri_D.pdf,Sicherung der Energieübertragung Südkaukasus (Umspannstation Gyumri),0,1,2019,1,1,13700000.0,1,1,3,2.0,,3.0,3.0,3.0,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Armenien_2019_Gyumri_D.pdf,0,0.10380622837370243,1
Armenien_Einlagensicherungssystem_2010.pdf,Aufbau eines Einlagensicherungssystems,0,1,2010,1,1,3500000.0,1,1,2,2.0,,2.0,2.0,2.0,2.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Armenien_Einlagensicherungssystem_2010.pdf,1,0.0,0
Armenien_KIPI_2017_D.pdf,Kommunale Infrastruktur (KIP) I Siedlungswirtschaft,0,1,2017,1,1,14190000.0,1,1,4,3.0,,4.0,3.0,4.0,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Armenien_KIPI_2017_D.pdf,0,1.5856185252894577,1
Aserbaidschan_ESF_2011.pdf,Aufbau eines Einlagensicherungssystems,0,1,2011,1,1,5000000.0,1,1,2,1.0,,1.0,2.0,2.0,2.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Aserbaidschan_ESF_2011.pdf,2,0.0,0
Aserbaidschan_Reha_Strom_2011.pdf,Rehabilitierung im Stromübertragungsbereich II,0,1,2012,1,1,15850000.0,1,1,3,2.0,,2.0,3.0,3.0,2.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Aserbaidschan_Reha_Strom_2011.pdf,6,,0
Aserbaidschan_kommunale_Infra_2011.pdf,Offenes Programm Kommunale Infrastruktur,0,1,2011,1,1,3400000.0,1,1,5,3.0,,5.0,3.0,5.0,3.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Aserbaidschan_kommunale_Infra_2011.pdf,6,1.2527472527472527,1
BCIE_Umwelt_2019_D.pdf,KMU-Umweltkreditprogramm über BCIE,0,1,2019,1,1,33630000.0,1,1,3,3.0,,3.0,3.0,4.0,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/BCIE_Umwelt_2019_D.pdf,4,0.01726263871763267,0
Bangladesch_EEII_2022_D.pdf,Energieeffizienzprogramm II ,0,1,2022,1,1,30400000.0,1,1,3,2.0,2.0,3.0,3.0,4.0,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Bangladesch_EEII_2022_D.pdf,3,,0
Bangladesch_Grundschulen_2008.pdf,Grundschulen/Zyklonschutzbauten,0,1,2008,1,1,15280000.0,1,1,2,2.0,,2.0,2.0,2.0,2.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Bangladesch_Grundschulen_2008.pdf,1,0.11414735385679686,1
Bangladesch_Jamuna_2008.pdf,Testprogramm Erosionsschutz Am Jamuna,0,1,2008,1,1,37200000.0,1,1,4,4.0,,4.0,5.0,4.0,4.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Bangladesch_Jamuna_2008.pdf,1,0.1440922190201729,1
Bangladesch_Märkte_Straßen_2012.pdf,Entwicklung ländlicher Märkte in der Region Khulna,0,1,2012,1,1,119950000.0,1,1,1,1.0,,1.0,1.0,1.0,2.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Bangladesch_Märkte_Straßen_2012.pdf,6,,0
Bangladesch_UGIIP_2021_D.pdf,Gute lokale Regierungsführung (UGIIP),0,1,2021,1,1,23000000.0,1,1,2,2.0,,2.0,2.0,2.0,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Bangladesch_UGIIP_2021_D.pdf,3,,0
Benin_Basisgesundheitsdienste_2009.pdf,Basisgesundheitsdienste,0,1,2010,1,1,19900000.0,1,1,3,2.0,,3.0,3.0,3.0,3.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Benin_Basisgesundheitsdienste_2009.pdf,1,0.025316455696202552,0
Benin_Finanz_2021_D.pdf,Ländliche Finanzierung,0,1,2021,1,1,9900000.0,1,1,2,2.0,2.0,2.0,3.0,1.0,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Benin_Finanz_2021_D.pdf,3,0.00913242009132417,0
