project_name,country,year,sector,subsector,investment,fund_source,carrier_type,overall_rating,relevance,coherence,effectivity,efficiency,impact,sustainability,url,outcome_fully,outcome_partially,outcome_not,pdf
Renaturierung und nachhaltiges Management von Mooren in der Ukraine,Ukraine,2019,Umweltschutz,Ressourcenschutz inkl. Wasser,2678000.0,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz (BMUV)",NRO,5,4.0,4.0,5.0,5.0,5,4.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/IKI-Evaluierungen/IKI_Ukraine_Mooren_2019_D.pdf,0.0,0.0,100.0,IKI_Ukraine_Mooren_2019_D.pdf
Sektorreformprogramm Umwelt (PGF),Peru,2018,Umweltschutz,Ressourcenschutz inkl. Wasser,87000000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,2.0,,2.0,3.0,2,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Peru_SBHUmwelt_2018_D.pdf,80.0,20.0,0.0,Peru_SBHUmwelt_2018_D.pdf
Schutzgebiete <span lang='en'>Guiana Shield</span>,Lateinamerika (regional),2017,Umweltschutz,Ressourcenschutz inkl. Wasser,2970000.0,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz (BMUV)",NRO,3,3.0,3.0,3.0,3.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/IKI-Evaluierungen/IKI_Guyana_Shield_Initiative_2017_D.pdf,16.666666666666664,83.33333333333334,0.0,IKI_Guyana_Shield_Initiative_2017_D.pdf
Tropenwaldschutz,Guyana,2015,Umweltschutz,Ressourcenschutz inkl. Wasser,2750000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,2.0,,3.0,2.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Guyana_Tropenwaldschutz_2015_D.pdf,33.33333333333333,50.0,16.666666666666664,Guyana_Tropenwaldschutz_2015_D.pdf
Bwabwata Mudumu Mamili National Parks (BMMP) II,Namibia,2018,Umweltschutz,Ressourcenschutz inkl. Wasser,4410000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,2.0,,1.0,2.0,1,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Namibia_BMMP_2018_D.pdf,75.0,25.0,0.0,Namibia_BMMP_2018_D.pdf
Tropenwaldschutz <span lang='en'>Oban Hills</span>,Nigeria,2017,Umweltschutz,Ressourcenschutz inkl. Wasser,3230000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,2.0,,3.0,3.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Nigeria_Tropenwaldschutz_2017_D.pdf,33.33333333333333,33.33333333333333,33.33333333333333,Nigeria_Tropenwaldschutz_2017_D.pdf
Fischereiüberwachung III,Mauretanien,2016,Landwirtschaft und Ernährungssicherheit,Ernährungssicherung,5280000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,1.0,,3.0,2.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Mauretanien_Fischerei_2016_D.pdf,100.0,0.0,0.0,Mauretanien_Fischerei_2016_D.pdf
Naturschutzgebiete: Beiträge zur Emissionsminderung und Anpassung,Brasilien,2017,Umweltschutz,Ressourcenschutz inkl. Wasser,96111000.0,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz (BMUV)",Mischform,2,2.0,2.0,2.0,2.0,2,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/IKI-Evaluierungen/IKI_Brasilien_ARPA_2017_D.pdf,80.0,20.0,0.0,IKI_Brasilien_ARPA_2017_D.pdf
Ressourcenschutz Fogo ,Kap Verde (Cabo Verde),2017,Umweltschutz,Ernährungssicherung,5520000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,2.0,,3.0,2.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Kap_Verden_RessourcenschutzFogo_2017_D.pdf,28.57142857142857,28.57142857142857,14.285714285714285,Kap_Verden_RessourcenschutzFogo_2017_D.pdf
Tropenwaldschutz und Wassereinzugsgebietsverwaltung in der Region <span lang='es'>Trifinio</span>,Zentralamerika (CTPT),2018,Umweltschutz,Ressourcenschutz inkl. Wasser,17200000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Mischform,2,2.0,,3.0,2.0,3,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-R-Z/Zentralamerika_Trifinio_2018_D.pdf,80.0,20.0,0.0,Zentralamerika_Trifinio_2018_D.pdf
